TNKS,Receptor tyrosine kinase
RLIM,TGF
TNKS,TGF
SIAH2,TGF
ATM,TGF
PLK1,TGF
WRN,TGF
FBXO4,TGF
BLM,TGF
RTEL1,TGF
MKRN1,TGF
CBX3,TGF
CBX3,Receptor tyrosine kinase
RPAP3,Receptor tyrosine kinase
RFC5,Receptor tyrosine kinase
GADD45A,Receptor tyrosine kinase
BLM,Receptor tyrosine kinase
BLM,JAK/STAT
PLK1,JAK/STAT
RAD17,JAK/STAT
TOPBP1,JAK/STAT
MSH6,JAK/STAT
CDK5,Receptor tyrosine kinase
PPP5C,Receptor tyrosine kinase
MSH2,Receptor tyrosine kinase
MLH1,Receptor tyrosine kinase
PMS2,Receptor tyrosine kinase
MSH6,Receptor tyrosine kinase
ITCH,Innate immune pathways
ABL1,Receptor tyrosine kinase
CHEK2,Receptor tyrosine kinase
ATR,Receptor tyrosine kinase
CHEK1,Receptor tyrosine kinase
RPA3,Receptor tyrosine kinase
RNF8,Receptor tyrosine kinase
H2AFX,Receptor tyrosine kinase
CAND1,Receptor tyrosine kinase
RAD50,Receptor tyrosine kinase
MRE11,Receptor tyrosine kinase
RPA1,Receptor tyrosine kinase
FANCA,Receptor tyrosine kinase
FANCB,Receptor tyrosine kinase
FANCC,Receptor tyrosine kinase
FANCE,Receptor tyrosine kinase
FANCF,Receptor tyrosine kinase
FANCG,Receptor tyrosine kinase
FANCL,Receptor tyrosine kinase
FANCM,Receptor tyrosine kinase
UBE2T,Receptor tyrosine kinase
FAAP100,Receptor tyrosine kinase
ATM,Notch
ATR,Notch
RPA1,Notch
RPA3,Notch
RPA2,Notch
UBE2T,Notch
CHEK1,Notch
RAD18,Notch
UBE2N,Innate immune pathways
MDC1,Innate immune pathways
USP1,Innate immune pathways
PLK1,Innate immune pathways
RPA1,Hedgehog
USP1,Hedgehog
RPA3,Hedgehog
ATM,Hedgehog
ATR,Hedgehog
CHEK1,Hedgehog
CHEK2,Hedgehog
FAAP100,Hedgehog
BLM,Hedgehog
FANCG,Hedgehog
FANCL,Hedgehog
FANCM,Hedgehog
FANCE,Hedgehog
FANCB,Hedgehog
FAAP24,Hedgehog
POLM,Notch
USP1,Notch
CDK1,Notch
MLH1,Notch
PMS2,Notch
PLK1,Notch
CDK2,Notch
CDC14A,Notch
CDK7,Notch
MNAT1,Notch
WEE1,Notch
MSH2,Notch
MSH6,Notch
CDC7,Notch
DBF4,Notch
CDC25A,Notch
HUS1,Notch
RAD1,Notch
RAD17,Notch
CLSPN,Notch
ATRIP,Notch
TIPIN,Notch
BIRC5,Notch
INCENP,Notch
AURKB,Notch
APC2,Hedgehog
AURKB,Hedgehog
BIRC5,Hedgehog
CDC14A,Hedgehog
PLK1,Hedgehog
SKP1,Receptor tyrosine kinase
SKP2,Receptor tyrosine kinase
